,density,pH,chlorides,pH,quality
1296,0.99558,3.2,0.093,3.2,5
1297,0.99323,3.35,0.064,3.35,6
1298,0.99191,3.45,0.063,3.45,6
1299,0.99476,3.5,0.1369999999999999,3.5,3
1300,0.99444,3.78,0.08,3.78,6
1301,0.99598,3.6,0.1,3.6,6
1302,0.99576,3.3,0.064,3.3,6
1303,0.99501,3.36,0.081,3.36,5
1304,0.9955,3.12,0.087,3.12,5
1305,0.99612,3.3,0.073,3.3,5
1306,0.9979,3.29,0.088,3.29,5
1307,0.99524,3.41,0.068,3.41,4
1308,0.9979,3.29,0.088,3.29,5
1309,0.996,3.28,0.071,3.28,5
1310,0.99612,3.3,0.073,3.3,5
1311,0.9929,3.33,0.064,3.33,6
1312,0.99532,3.34,0.083,3.34,5
1313,0.99558,3.4,0.086,3.4,6
1314,0.99556,3.4,0.086,3.4,6
1315,0.99616,3.26,0.083,3.26,6
1316,0.99258,4.01,0.0409999999999999,4.01,6
1317,0.99638,3.18,0.091,3.18,6
1318,0.99616,3.26,0.083,3.26,6
1319,0.99652,2.9,0.414,2.9,6
1320,0.99796,3.26,0.094,3.26,5
1321,0.99258,4.01,0.0409999999999999,4.01,6
1322,0.99392,3.18,0.0579999999999999,3.18,5
1323,0.99495,3.18,0.06,3.18,7
1324,0.9948,3.39,0.077,3.39,6
1325,0.9948,3.39,0.077,3.39,6
1326,0.9948,3.39,0.077,3.39,6
1327,0.9948,3.39,0.077,3.39,6
1328,0.9955,3.34,0.073,3.34,5
1329,0.99616,3.29,0.083,3.29,6
1330,0.99616,3.29,0.083,3.29,6
1331,0.99668,3.26,0.107,3.26,5
1332,0.99581,3.09,0.075,3.09,6
1333,0.9976,3.18,0.079,3.18,5
1334,0.99608,3.39,0.166,3.39,5
1335,0.99387,3.38,0.069,3.38,6
1336,0.99448,3.36,0.057,3.36,5
1337,0.99448,3.36,0.057,3.36,5
1338,0.99448,3.36,0.057,3.36,5
1339,0.99538,3.36,0.084,3.36,6
1340,0.99538,3.36,0.084,3.36,6
1341,0.99538,3.36,0.084,3.36,6
1342,0.99589,3.37,0.085,3.37,6
1343,0.99538,3.36,0.084,3.36,6
1344,0.99852,3.09,0.077,3.09,5
1345,0.99613,3.25,0.063,3.25,6
1346,0.99472,3.52,0.0559999999999999,3.52,5
1347,0.99587,3.34,0.078,3.34,5
1348,0.99587,3.34,0.078,3.34,5
1349,0.99518,3.41,0.081,3.41,5
1350,0.99654,3.34,0.069,3.34,5
1351,0.99332,3.32,0.065,3.32,6
1352,0.9969,3.37,0.086,3.37,5
1353,0.9969,3.37,0.086,3.37,5
1354,0.99568,3.35,0.077,3.35,5
1355,0.99464,3.36,0.086,3.36,5
1356,0.99464,3.36,0.084,3.36,5
1357,0.99648,3.6,0.078,3.6,6
1358,0.99736,3.28,0.168,3.28,5
1359,0.99704,3.07,0.091,3.07,6
1360,0.99699,3.24,0.1119999999999999,3.24,5
1361,0.99724,3.36,0.093,3.36,5
1362,0.99704,3.07,0.091,3.07,6
1363,0.99652,3.29,0.08,3.29,4
1364,0.995,3.46,0.096,3.46,6
1365,0.9971,3.18,0.115,3.18,5
1366,0.99576,3.24,0.094,3.24,5
1367,0.99725,3.25,0.088,3.25,6
1368,0.99656,3.27,0.079,3.27,6
1369,0.99396,3.33,0.069,3.33,4
1370,0.99623,3.0,0.415,3.0,5
1371,0.99476,3.21,0.153,3.21,6
1372,0.99623,3.0,0.415,3.0,5
1373,0.99664,3.24,0.11,3.24,5
1374,0.99471,3.32,0.267,3.32,3
1375,0.99586,3.26,0.083,3.26,5
1376,0.9946,3.11,0.086,3.11,5
1377,0.9953,3.71,0.09,3.71,6
1378,0.99609,3.29,0.078,3.29,6
1379,0.99557,3.36,0.077,3.36,6
1380,0.99557,3.36,0.077,3.36,6
1381,0.99534,3.38,0.074,3.38,5
1382,0.99613,3.3,0.08,3.3,5
1383,0.99613,3.3,0.08,3.3,5
1384,0.99593,3.19,0.107,3.19,5
1385,0.99668,3.19,0.076,3.19,5
1386,0.9961,3.3,0.1,3.3,5
1387,0.9961,3.3,0.1,3.3,5
1388,0.99718,3.35,0.083,3.35,5
1389,0.99524,3.1,0.08,3.1,5
1390,0.99292,3.58,0.068,3.58,6
1391,0.99612,3.37,0.094,3.37,5
1392,0.9942,3.17,0.07,3.17,5
1393,0.99612,3.3,0.078,3.3,5
1394,0.99669,3.32,0.07,3.32,5
1395,0.99745,3.31,0.092,3.31,6
1396,0.99745,3.31,0.09,3.31,5
1397,0.99584,3.28,0.08,3.28,5
1398,0.9966,3.52,0.083,3.52,7
1399,0.9956,3.42,0.068,3.42,6
1400,0.9962,3.25,0.08,3.25,5
1401,0.9962,3.25,0.08,3.25,5
1402,0.9963,3.44,0.052,3.44,6
1403,0.996,3.23,0.061,3.23,8
1404,0.9985,3.43,0.0819999999999999,3.43,6
1405,0.9952,3.28,0.062,3.28,7
1406,0.9974,3.22,0.062,3.22,6
1407,0.995,3.54,0.064,3.54,6
1408,0.995,3.27,0.048,3.27,7
1409,0.995,3.54,0.064,3.54,6
1410,0.9936,3.5,0.0819999999999999,3.5,6
1411,0.9963,3.56,0.071,3.56,6
1412,0.9974,3.22,0.062,3.22,6
1413,0.9963,3.04,0.104,3.04,5
1414,0.9994,3.2,0.077,3.2,5
1415,0.9966,3.56,0.065,3.56,5
1416,0.9994,3.2,0.077,3.2,5
1417,0.9952,3.35,0.064,3.35,7
1418,0.995,3.16,0.077,3.16,5
1419,0.9956,3.27,0.077,3.27,5
1420,0.995,3.16,0.077,3.16,5
1421,0.9965,3.34,0.079,3.34,5
1422,0.9956,3.39,0.079,3.39,6
1423,0.9968,3.5,0.123,3.5,4
1424,0.9974,3.26,0.076,3.26,6
1425,0.9974,3.26,0.076,3.26,6
1426,0.9971,3.41,0.046,3.41,6
1427,0.9957,3.3,0.078,3.3,5
1428,0.9962,3.31,0.072,3.31,5
1429,0.996,3.33,0.049,3.33,5
1430,0.9956,3.37,0.066,3.37,5
1431,0.9958,3.26,0.069,3.26,6
1432,0.9944,3.48,0.042,3.48,6
1433,0.9955,3.42,0.069,3.42,7
1434,1.00369,3.18,0.214,3.18,6
1435,1.00369,3.18,0.214,3.18,6
1436,0.99914,3.15,0.1689999999999999,3.15,5
1437,0.99577,3.53,0.07,3.53,5
1438,0.996,3.41,0.052,3.41,5
1439,0.99566,3.32,0.072,3.32,6
1440,0.9947,3.23,0.062,3.23,7
1441,0.99713,3.16,0.094,3.16,6
1442,0.99712,3.4,0.078,3.4,5
1443,0.99322,3.38,0.0579999999999999,3.38,5
1444,0.99566,3.32,0.072,3.32,6
1445,0.99713,3.16,0.094,3.16,6
1446,0.99712,3.4,0.078,3.4,5
1447,0.99701,3.4,0.08,3.4,5
1448,0.99683,3.4,0.08,3.4,5
1449,0.99472,3.23,0.0559999999999999,3.23,8
1450,0.9947,3.23,0.062,3.23,7
1451,0.99732,3.33,0.104,3.33,7
1452,0.99374,3.35,0.062,3.35,7
1453,0.99706,3.41,0.074,3.41,5
1454,0.99974,3.21,0.073,3.21,6
1455,0.99467,3.5,0.052,3.5,6
1456,0.99236,3.3,0.05,3.3,6
1457,0.99706,3.41,0.074,3.41,5
1458,0.99603,3.39,0.067,3.39,5
1459,0.99458,3.32,0.054,3.32,7
1460,0.99724,3.41,0.054,3.41,6
1461,0.99664,3.59,0.06,3.59,4
1462,0.99545,3.36,0.075,3.36,6
1463,0.99522,3.34,0.076,3.34,6
1464,0.9958,3.41,0.063,3.41,5
1465,0.9958,3.41,0.063,3.41,5
1466,0.99728,3.3,0.062,3.3,7
1467,0.99648,3.52,0.067,3.52,4
1468,0.99728,3.3,0.062,3.3,7
1469,0.99705,3.31,0.061,3.31,3
1470,0.99578,2.88,0.084,2.88,5
1471,0.99334,3.43,0.067,3.43,5
1472,0.99656,3.38,0.073,3.38,6
1473,0.99336,3.38,0.071,3.38,5
1474,1.00242,3.16,0.205,3.16,5
1475,0.99182,3.54,0.048,3.54,7
1476,1.00242,3.16,0.205,3.16,5
1477,0.99182,3.54,0.048,3.54,7
1478,0.99808,3.4,0.0819999999999999,3.4,3
1479,0.99828,3.39,0.104,3.39,5
1480,0.99498,3.66,0.08,3.66,4
1481,0.99828,3.39,0.104,3.39,5
1482,0.99719,3.33,0.114,3.33,4
1483,0.99542,3.35,0.042,3.35,5
1484,0.99592,3.53,0.06,3.53,4
1485,0.99606,3.37,0.074,3.37,5
1486,0.99546,3.38,0.07,3.38,5
1487,0.99496,3.52,0.066,3.52,5
1488,0.9942,3.72,0.049,3.72,5
1489,0.99448,3.44,0.048,3.44,6
1490,0.99344,3.39,0.039,3.39,6
1491,0.9942,3.72,0.049,3.72,5
1492,0.99348,3.57,0.05,3.57,5
1493,0.99636,3.26,0.089,3.26,5
1494,0.99459,3.42,0.066,3.42,7
1495,0.99492,3.35,0.08,3.35,6
1496,0.99636,3.26,0.089,3.26,5
1497,0.99508,3.45,0.054,3.45,6
1498,0.99582,3.53,0.068,3.53,6
1499,0.99508,3.45,0.054,3.45,6
1500,0.99508,3.26,0.076,3.26,5
1501,0.99642,3.16,0.083,3.16,5
1502,0.99638,3.31,0.078,3.31,5
1503,0.99555,3.51,0.077,3.51,6
1504,0.99605,3.36,0.106,3.36,6
1505,0.996,3.55,0.078,3.55,3
1506,0.99562,3.51,0.07,3.51,6
1507,0.99605,3.36,0.106,3.36,6
1508,0.99814,3.38,0.074,3.38,6
1509,0.9941,3.28,0.062,3.28,5
1510,0.99661,3.47,0.047,3.47,6
1511,0.99712,3.44,0.068,3.44,5
1512,0.99588,3.53,0.061,3.53,6
1513,0.99294,3.33,0.078,3.33,6
1514,0.99842,3.53,0.074,3.53,6
1515,0.99842,3.53,0.074,3.53,6
1516,0.99633,3.42,0.071,3.42,5
1517,0.99489,3.38,0.063,3.38,6
1518,0.99647,3.32,0.114,3.32,5
1519,0.99665,3.44,0.106,3.44,5
1520,0.99489,3.38,0.063,3.38,6
1521,0.99585,3.39,0.0819999999999999,3.39,4
1522,0.99633,3.42,0.071,3.42,5
1523,0.9953,3.34,0.076,3.34,5
1524,0.99522,3.39,0.075,3.39,6
1525,0.99552,3.33,0.064,3.33,5
1526,0.99553,3.3,0.064,3.3,6
1527,0.9951,3.29,0.071,3.29,6
1528,0.99714,3.31,0.096,3.31,6
1529,0.99608,3.42,0.063,3.42,6
1530,0.99444,3.42,0.063,3.42,6
1531,0.99631,3.6,0.081,3.6,5
1532,0.99573,3.21,0.0579999999999999,3.21,6
1533,0.99717,3.39,0.074,3.39,5
1534,0.99397,3.42,0.064,3.42,7
1535,0.9959,3.36,0.075,3.36,6
1536,0.99528,3.6,0.077,3.6,6
1537,0.99484,3.5,0.059,3.5,6
1538,0.99538,3.57,0.081,3.57,5
1539,0.99714,3.46,0.065,3.46,5
1540,0.99646,3.56,0.071,3.56,6
1541,0.99666,3.4,0.054,3.4,7
1542,0.99472,3.3,0.064,3.3,6
1543,0.99758,3.25,0.064,3.25,6
1544,0.9955,3.17,0.063,3.17,7
1545,0.99531,3.36,0.059,3.36,6
1546,0.99575,3.36,0.072,3.36,5
1547,0.99306,3.55,0.048,3.55,5
1548,0.99783,3.1,0.099,3.1,5
1549,0.99419,3.24,0.074,3.24,8
1550,0.99783,3.45,0.087,3.45,5
1551,0.99768,3.44,0.083,3.44,5
1552,0.99586,3.51,0.103,3.51,6
1553,0.99765,3.41,0.08,3.41,5
1554,0.99627,3.54,0.062,3.54,6
1555,0.99514,3.44,0.065,3.44,7
1556,0.99636,3.53,0.066,3.53,5
1557,0.99627,3.54,0.062,3.54,6
1558,0.99787,3.22,0.235,3.22,5
1559,0.99622,3.21,0.08,3.21,5
1560,0.99622,3.21,0.08,3.21,5
1561,0.99622,3.21,0.08,3.21,5
1562,0.99546,3.29,0.076,3.29,5
1563,0.99546,3.29,0.076,3.29,5
1564,0.99546,3.29,0.076,3.29,5
1565,0.99489,3.39,0.061,3.39,6
1566,0.99494,3.34,0.059,3.34,6
1567,0.99546,3.29,0.076,3.29,5
1568,0.99629,3.34,0.077,3.34,5
1569,0.99396,3.48,0.0559999999999999,3.48,6
1570,0.9934,3.37,0.23,3.37,6
1571,0.99514,3.44,0.038,3.44,6
1572,0.99632,3.33,0.069,3.33,5
1573,0.99467,3.58,0.075,3.58,6
1574,0.99677,3.39,0.074,3.39,6
1575,0.99474,3.26,0.06,3.26,6
1576,0.99588,3.3,0.081,3.3,6
1577,0.99622,3.54,0.076,3.54,6
1578,0.9954,3.42,0.118,3.42,6
1579,0.99402,3.54,0.053,3.54,5
1580,0.9947,3.36,0.068,3.36,6
1581,0.99402,3.54,0.053,3.54,5
1582,0.99362,3.57,0.053,3.57,5
1583,0.99578,3.33,0.074,3.33,5
1584,0.99484,3.29,0.061,3.29,7
1585,0.99494,3.3,0.066,3.3,6
1586,0.99492,3.34,0.065,3.34,6
1587,0.99483,3.55,0.066,3.55,6
1588,0.99414,3.27,0.068,3.27,6
1589,0.9977,3.29,0.073,3.29,5
1590,0.99314,3.32,0.077,3.32,6
1591,0.99402,3.67,0.089,3.67,6
1592,0.99574,3.42,0.076,3.42,6
1593,0.99651,3.42,0.068,3.42,6
1594,0.9949,3.45,0.09,3.45,5
1595,0.99512,3.52,0.062,3.52,6
1596,0.99574,3.42,0.076,3.42,6
1597,0.99547,3.57,0.075,3.57,5
1598,0.99549,3.39,0.067,3.39,6
